 0.270082	  0.423294	  0.685959	
 0.271397	  0.423882	  0.685536	
 0.272712	  0.424463	  0.685106	
 0.274028	  0.425038	  0.684669	
 0.275343	  0.425606	  0.684226	
 0.276658	  0.426167	  0.683775	
 0.277973	  0.426723	  0.683318	
 0.279289	  0.427271	  0.682854	
 0.280604	  0.427813	  0.682383	
 0.281919	  0.428349	  0.681906	
 0.283234	  0.428878	  0.681422	
 0.284550	  0.429401	  0.680932	
 0.285865	  0.429918	  0.680435	
 0.287180	  0.430428	  0.679931	
 0.288495	  0.430932	  0.679421	
 0.289811	  0.431430	  0.678904	
 0.291126	  0.431921	  0.678381	
 0.292441	  0.432406	  0.677851	
 0.293756	  0.432885	  0.677315	
 0.295072	  0.433358	  0.676772	
 0.296387	  0.433824	  0.676223	
 0.297702	  0.434284	  0.675668	
 0.299017	  0.434739	  0.675106	
 0.300332	  0.435187	  0.674539	
 0.301648	  0.435629	  0.673964	
 0.302963	  0.436065	  0.673384	
 0.304278	  0.436494	  0.672797	
 0.305593	  0.436918	  0.672204	
 0.306909	  0.437336	  0.671605	
 0.308224	  0.437748	  0.671000	
 0.309539	  0.438154	  0.670389	
 0.310854	  0.438554	  0.669772	
 0.312170	  0.438948	  0.669148	
 0.313485	  0.439336	  0.668519	
 0.314800	  0.439718	  0.667883	
 0.316115	  0.440094	  0.667242	
 0.317431	  0.440465	  0.666594	
 0.318746	  0.440830	  0.665941	
 0.320061	  0.441189	  0.665282	
 0.321376	  0.441542	  0.664616	
 0.322692	  0.441889	  0.663945	
 0.324007	  0.442231	  0.663269	
 0.325322	  0.442567	  0.662586	
 0.326637	  0.442898	  0.661897	
 0.327953	  0.443222	  0.661203	
 0.329268	  0.443542	  0.660503	
 0.330583	  0.443855	  0.659798	
 0.331898	  0.444163	  0.659087	
 0.333213	  0.444465	  0.658370	
 0.334529	  0.444762	  0.657647	
 0.335844	  0.445054	  0.656919	
 0.337159	  0.445339	  0.656186	
 0.338474	  0.445620	  0.655446	
 0.339790	  0.445895	  0.654702	
 0.341105	  0.446164	  0.653951	
 0.342420	  0.446428	  0.653196	
 0.343735	  0.446687	  0.652435	
 0.345051	  0.446941	  0.651668	
 0.346366	  0.447189	  0.650896	
 0.347681	  0.447431	  0.650119	
 0.348996	  0.447669	  0.649337	
 0.350312	  0.447901	  0.648549	
